S.n,article_id,question,Question_id,user_id,Answers
1,87947,Why do government policies need to supplement technology in order to bring about big challenges?,2520,41425,"Government policies are needed to complement the technologies as the technology includes carbon capture and storage systems, more efficient irrigation methods, essential medicines, domestic water purification equipment, and manufacturing processes that reduce waste and pollution."
2,87941,When the global people are getting safe food without chemicals but with natural products and without and chemical food colour ,2519,40601,"The day when every person in this world will be health-conscious and will be aware of how important food security is, on that day everyone will have chemical-free products."
3,87945,When this 40%is gonna decrease?,2518,40601,"Old-fashioned biomass burning will decrease when the amount of energy production increases, and at the same time, the energy consumption decreases, including through energy efficiency. "
4,87952,What is this all about,2517,40881,The article is about encouraging sustainable energy in developing countries and unlearning the old-fashioned method used to burn biomass. The main focus is on the factors that are needed to build a clean energy system. 
5,87952,40% of the world do not get electricity but in which part of the world this 40% is ?,2516,40601,"The 40% of the world that does not have electricity is the rural area of ​​the world. Primarily, rural areas of Sub-Saharan Africa and India lack access to electricity."
6,87970,Where is northern alaska,2515,44840,"Northern Alaska is a region of the U.S. state. Northern Alaska is also known as Arctic Alaska because the Arctic Circle runs through North America. The region under the Arctic Circle has a climate with long, extremely cold winters and short, cool summers."
7,87973,Where did the ISSF world cup was introduced first?,2514,44840,"The first ISSF World Cup Rifle and Pistol were held in Mexico City, Mexico in, March 1986, followed by the first ISSF World Cup Shotgun set in Montecatini, Italy, in April 1986."
8,87972,HK was a British colony until? ,2513,43833,"Hong Kong was a British colony from 1841 to 1941 and again from 1945 to 1997. In the First Opium War in 1839, Britain invaded China, and one of its first actions was the capture of Hong Kong"
9,87949,Apart from the examples mentioned above what are some other sources of clean energy sources being used around the world?,2512,44702,"Other sources of clean energy that are used around the world are:-  hydrogen gas, tidal energy, biomass energy, geothermal power, natural gas, biofuels, wave energy, hydroelectric energy, and nuclear power. "
10,87944,"Where was the fossil of an ancient rhinoceros found in China?
",2511,40994,Fossils of Paraceratherium linuxianus found in northwestern China's Gansu province indicate a new species of giant rhinoceros that lived more than 26 million years ago. The fossils include a skull and two vertebrae found in the reddish-brown sandstone of the Linxia Basin.
11,87946,How many projects,2510,41732,"Since 2010, the World Bank has provided more than $5 billion for energy access in over 35 countries through 70 projects. "
12,87957,Is unity the answer to facing all drastic situations?,2509,44853,"Unity is not the answer to all individual drastic situations. Yes, unity is the answer to all harsh situations when it comes to large masses. For example, we must unite to fight the coronavirus. Only unity will help us come out of this dire situation because everyone needs to take precautions and follow the guidelines of the government and WHO."
13,87951,How compatible is this project in the Indian  context? ,2508,16555,"The project is compatible with India because SDG 17 calls for a global partnership for sustainable development. The goal highlights the importance of global macroeconomic stability and the need to mobilize financial resources for developing countries from international sources, as well as through strengthened domestic capacities for revenue collection."
14,87949,When was liuthiem IOS Batteries made ?,2507,40601,"The lithium IOS batteries were first issued in 1991. The fundamental work on lithium-ion batteries was started in the 1970s, and remarkable progress was been made in the 1980s. "
15,87951,What is (CONUEE)?,2506,40601,The National Commission for the Efficient Use of Energy (CONUEE) is an administrative agency of the Ministry of Energy of Mexico. CONUEE has the objective to promote energy efficiency and serve as a technical body on sustainable use of energy. 
16,87960,"I know that India is selling lots of vacancies to other countries but I think they should stop, please tell me why.",2505,40789,"India should stop exporting vaccines because the population of India is 1.38 billion, and due to the lack of vaccines, it will take 2-2.5 years to vaccinate the entire population of India. "
17,87949,What is carbon capture,2504,40617,Carbon capture is the capture and storing of carbon dioxide (CO2) before it is released into the atmosphere. The technology can capture up to 90% of CO2 emissions that are released by burning fossil fuels during electricity generation. 
18,87960,How will corona virus will dead,2503,41412,Coronavirus will die when everyone is vaccinated.
19,87927,With is the meaning of acidification 🤔,2501,40756,"Acidification is what happens when water or soil becomes too acidic. In the ocean, acidification is mainly caused by the burning of fossil fuels."
20,87948,What is fossil energy,2499,41732,"Fossil fuels are compound mixtures made of fossilized plant and animal remnants from millions of years ago. The creation of fossil fuels—either oil, natural gas, or coal—from these fossils is determined by the type of fossil, the amount of heat, and the amount of pressure. The energy in fossil fuels comes from the sun. "
21,87899,What is the reason for occurrence of northern lights?,2496,40761,"Northern lights are caused by high-energy particles from the sun flow down on Earth. As they near our planet, they interact with Earth's magnetic field, which channels them toward the north and south magnetic poles."
22,87957,In 2015 which place the phenomenon took place?,2494,44631,"The phenomenon took place in Southern Australia. Millions of spiders dropped from the sky in the Southern Tablelands region, blanketing the countryside with their webs. "
23,87943,So does it mean that PET has the genetic makeup of E.coli?,2492,43209,Biomimicry is a technological-oriented approach focused on putting nature's lessons into practice. Biomimicry studies nature's models and imitates them or uses them as inspiration for designs or processes to solve human problems.
24,87946,What will happen when there will be pollution?,2490,40571,"Pollution may muddy landscapes, poison soils, and waterways, or kill plants and animals. Humans are regularly harmed by pollution. Long-term exposure to air pollution, for example, can lead to chronic respiratory disease, lung cancer, and other diseases. "
25,87949,Will solar help the world,2489,40571,"Yes, the solar panel can help the world because it reduces both global warming and urban heat island. Solar energy creates clean, renewable power from the sun and benefits the environment. Alternatives to fossil fuels reduce carbon footprint at home and abroad, reducing greenhouse gases around the globe. Solar is known to have a favorable impact on the environment."
26,87957,How is it possible that their were only spiders not other insects?,2488,41270,The investigation of this phenomenon is still in process. 
27,87956,How many workers were employed in building this 10- storey building in 28 hours ?,2487,44699,China's government didn't mention the specific number of workers involved in building this 10 storey building in 28 hours. The building was erected by a large team of workers and three cranes. 
28,87957,What is the name of this phenomena?,2482,41547,"The phenomenon is known as angel hair,” since a downpour of millions of baby spiders riding silky strands of the web looks very much like the sky is cloudy. "
29,87957,"Q1-The spiders made their own net by themselves?


Q-2-If some locals mistood the meaning of the ""butiful"" web why did they come close to it to see the spiders roaming around?",2473,40789,"A.1 Yes, spiders make their own web. Spiders use their silk for several purposes, including web-building. The silk is produced in internal glands, moving from a soluble form to a hardened form and then spun into fiber by the spinnerets on the spider's abdomen.                                                                                                                                                                                        A.2 The local people were stunned to see the spider rain. They were not sure what had fallen from the sky, so, to be sure what it was, they went closer to the spiders."
30,87952,What is the advantage of the increase in energy use in developing countries?,2461,44645,"Energy-efficiency or 'demand-side management' programs can provide several benefits in developing countries, including lower costs to customers, and fewer electrical supply problems, greater system reliability, and more moderate growth in demand. "
31,86658,What do you mean by connoisseurs ?,2460,43059,"Connoisseur means a person who has expert knowledge of something, especially of art, food, or drinks and is qualified to judge and appreciate its quality. For example,  a connoisseur of ballet. "
32,87941,How can we connect whole world for to ensure safe food?,2459,43096," Food illnesses can also cause serious health problems, even death. To ensure food safety:-     1.   Always wash your food, hands, counters, and cooking tools.
2. Keep raw foods to themselves. Germs can spread from one food to another.
3. Foods need to get hot and stay hot. Heat kills germs.
4. Put extra food in the fridge right away."
33,87868,How can we create green environment for future generation?,2458,43096,"To create a green environment for future generations, we have to take few steps like using reusable bags, print as little as necessary, recycle, use reusable beverage containers, save electricity, save water, avoid taking cars or carpool when possible, eat plant-based food, etc."
34,87951,What is the full form of conuee,2457,42511,The full form of CONUEE is  National Commission for the Efficient Use of Energy. It is an administrative agency of the Ministry of Energy of Mexico. CONUEE has the objective to promote energy efficiency and serve as a technical body on sustainable use of energy. 
35,87907,How can we stop discrimination against women ,2456,41326,"There are few ways to stop discrimination against women:-                                                                                                                                            •        Create laws and enforce existing laws that protect women from discrimination and violence, including rape, beatings, verbal abuse, mutilation, torture, “honor” killings, and trafficking.
•        Educate community members on their responsibilities under international and national human rights laws.
•        Strengthen women’s ability to earn money and support their households by providing skills training for women.
•        Highlight the value of girls’ education and women’s participation in economic development.
•        Encourage women to participate in the political process and educate the public about the value of women’s votes.
•        Raise public awareness of the poor conditions some women face, particularly in rural areas.
"
36,87906,How can we give more opertunties to women ,2455,41326,"The ways to increase opportunities for women:-                    1.        Train Female Farmers
2.        Promote Women-Led Businesses
3.        Empowering Female Entrepreneurs
4.        Training Women for Jobs
5.        Improving Maternal Health
6.        Leveraging Technology to Improve Care
7.        Committing to Women and Girls?
"
37,87909,What should we do for women safety ,2434,41326,"Safety measures should be implemented for women:-      1.        Police Reforms and Support
2.        Speedy Justice
3.        Special Investigation Units
4.        Capacity training of Prosecutors
5.        24/7 Helpline and Safety Apps with the speedy response
6.        Promote Women’s safety awareness and empowerment
7.        Nirbhaya Fund
8.        Dedicated Position in the Ministry of Women & Child
"
38,87941,Why is food safety important?,2431,43514,"Food safety is important because it helps to protect the health of consumers from foodborne illnesses and food poisoning. Food poisoning occurs when food becomes contaminated by bacteria, viruses, and other germs, making those who consume the contaminated food very ill. These illnesses are a burden on public health and contribute significantly to the cost of health care. They also present a major challenge to certain groups of people. Although anyone can get a foodborne illness, some people are at greater risk. "
39,87940,"With women empowerment as a priority, why do the laws that discriminate them still exist?",2430,40724,"Change takes time. We have come a long way, and soon things will be in our favor where no one will be discriminated against on the basis of their gender."
40,87939,What is Euro cup,2427,36026,"The Euro Cup is UEFA European Football Championship, less formally, the European Championship (EC) and informally as the Euros, is the primary association football competition contested by the senior men's national teams of the members of the Union of European Football Associations (UEFA), determining the continental champion of Europe. "
41,87913,Where is the egg kept now?,2420,41828,"The 1000-year-old egg found in Israel is perfectly preserved by being initially pillowed in soft human poop inside the cesspit in Yavne. The egg had a small crack in the bottom, so most of the contents had leaked out of it. Only some of the yolk remained, which was preserved for future DNA analysis."
